"","block","lot","street_number","street_number_suffix","street_name","street_suffix","new_units_built","month","year"
"398504","105","22",376,"","UNION","ST",1,"01","2017"
"398505","105","22",380,"","UNION","ST",1,"01","2017"
"398522","2650","43",2710,"","MARKET","ST",1,"01","2017"
"398534","824","006B",530,"","SCOTT","ST",3,"01","2017"
"398551","182","32",1139,"","PACIFIC","AV",1,"01","2017"
"398552","478","5",1230,"A","CHESTNUT","ST",1,"01","2017"
"398553","478","5",1230,"A","CHESTNUT","ST",1,"01","2017"
"398556","6511","18",3780,"","25TH","ST",1,"01","2017"
"398557","6511","18",1197,"","DOLORES","ST",1,"01","2017"
"398558","6511","18",1199,"","DOLORES","ST",1,"01","2017"
"398571","2700","10",4534,"A","19TH","ST",1,"01","2017"
"398644","1158","44",730,"","LYON","ST",1,"01","2017"
"398681","2356","29",2316,"","28TH","AV",1,"01","2017"
"398801","2374","19",3534,"","TARAVAL","ST",3,"01","2017"
"398802","2374","19",3536,"","TARAVAL","ST",3,"01","2017"
"398803","2374","19",3538,"","TARAVAL","ST",3,"01","2017"
"398860","5403","1",2,"","VESTA","ST",1,"01","2017"
"398864","2648","41",4075,"","17TH","ST",1,"01","2017"
"398875","5673","19",3481,"","MISSION","ST",2,"01","2017"
"398927","671","6",1450,"","FRANKLIN","ST",69,"01","2017"
"398953","1686","33",834,"","44TH","AV",1,"01","2017"
"398995","1533","29",460,"A","12TH","AV",1,"01","2017"
"399071","1525","20",2818,"","ANZA","ST",2,"01","2017"
"399074","620","13",1670,"","CLAY","ST",2,"01","2017"
"399077","6517","22",2881,"","MISSION","ST",2,"01","2017"
"399078","6517","22",2883,"","MISSION","ST",2,"01","2017"
"399438","1253","9",735,"","CLAYTON","ST",1,"01","2017"
"399496","3518","20",241,"","10TH","ST",28,"01","2017"
"399532","181","13",1042,"","JACKSON","ST",1,"01","2017"
"399533","181","13",1044,"","JACKSON","ST",1,"01","2017"
"399562","1227","24",600,"","STANYAN","ST",3,"01","2017"
"399723","3783","1",801,"","BRANNAN","ST",434,"01","2017"
"399796","1286","24",1318,"","COLE","ST",1,"01","2017"
"400019","869","30",271,"","WALLER","ST",1,"01","2017"
"400219","5290","45",1617,"","KIRKWOOD","AV",1,"01","2017"
"400427","1068","3",80,"","BLAKE","ST",2,"01","2017"
"400453","2374","19",3534,"","TARAVAL","ST",3,"01","2017"
"400472","5949","8",54,"","NAPLES","ST",1,"01","2017"
"400473","4172","22",1201,"","TENNESSEE","ST",259,"01","2017"
"403204","2329","8",938,"","SANTIAGO","ST",1,"01","2018"
"403205","2329","8",940,"","SANTIAGO","ST",1,"01","2018"
"403210","2023","4",1715,"","26TH","AV",1,"01","2018"
"403214","1007","19",330,"","PRESIDIO","AV",2,"01","2018"
"403215","73","22",819,"","LOMBARD","ST",3,"01","2018"
"403216","73","22",825,"","LOMBARD","ST",3,"01","2018"
"403217","96","25",1262,"","UNION","ST",3,"01","2018"
"403219","6617","18",1595,"","DOLORES","ST",1,"01","2018"
"403220","6617","18",1599,"","DOLORES","ST",1,"01","2018"
"403223","250","8",1372,"","PINE","ST",3,"01","2018"
"403226","5503","22",3179,"","CESAR CHAVEZ","ST",1,"01","2018"
"403230","1152","19",1888,"","GOLDEN GATE","AV",2,"01","2018"
"403235","5611","17",48,"","WINFIELD","ST",1,"01","2018"
"403236","5611","17",50,"","WINFIELD","ST",1,"01","2018"
"403242","1466","6",433,"","34TH","AV",2,"01","2018"
"403256","1502","002A",523,"","42ND","AV",1,"01","2018"
"403257","1502","002A",525,"","42ND","AV",1,"01","2018"
"403258","2611","19",1030,"","14TH","ST",1,"01","2018"
"403259","2611","19",1032,"A","14TH","ST",1,"01","2018"
"403260","2611","19",1032,"","14TH","ST",1,"01","2018"
"403261","2611","19",4,"","DIVISADERO","ST",1,"01","2018"
"403262","2611","19",6,"","DIVISADERO","ST",1,"01","2018"
"403264","1221","18",1362,"","PAGE","ST",4,"01","2018"
"403265","1221","18",1364,"","PAGE","ST",4,"01","2018"
"403268","1377","2",109,"","17TH","AV",1,"01","2018"
"403272","472","22",3320,"","OCTAVIA","ST",4,"01","2018"
"403284","498","022C",2942,"","FRANKLIN","ST",4,"01","2018"
"403285","1222","11",1438,"","PAGE","ST",1,"01","2018"
"403286","6319","19",427,"","VELASCO","AV",1,"01","2018"
"403287","1550","46",520,"","08TH","AV",1,"01","2018"
"403300","1082","14",910,"","PRESIDIO","AV",1,"01","2018"
"403305","652","13",2152,"","PINE","ST",1,"01","2018"
"403311","2064","12",1856,"A","28TH","AV",1,"01","2018"
"403317","5617","19",180,"","WINFIELD","ST",2,"01","2018"
